date,1. open,2. high,3. low,4. close,5. volume
2025-03-07 19:59:00,238.75,238.75,238.65,238.65,680.0
2025-03-07 19:58:00,238.7,238.7,238.66,238.7,554.0
2025-03-07 19:57:00,238.6999,238.6999,238.65,238.65,55.0
2025-03-07 19:56:00,238.6999,238.7,238.6,238.6999,284.0
2025-03-07 19:55:00,238.6993,238.7,238.54,238.7,180.0
2025-03-07 19:54:00,238.55,238.7,238.55,238.7,57.0
2025-03-07 19:53:00,238.55,238.7,238.55,238.6992,70.0
2025-03-07 19:52:00,238.544,238.67,238.54,238.67,54.0
2025-03-07 19:51:00,238.7,238.7,238.6,238.7,36.0
2025-03-07 19:50:00,238.696,238.7,238.696,238.7,24.0
2025-03-07 19:49:00,238.7,238.7,238.54,238.6988,38.0
2025-03-07 19:48:00,238.544,238.7,238.544,238.7,27.0
2025-03-07 19:47:00,238.7,238.7,238.54,238.7,31.0
2025-03-07 19:46:00,238.73,238.73,238.67,238.67,38.0
2025-03-07 19:45:00,238.54,238.73,238.54,238.5545,5.0
2025-03-07 19:44:00,238.66,238.66,238.66,238.66,1.0
2025-03-07 19:43:00,238.67,238.67,238.67,238.67,6.0
2025-03-07 19:42:00,238.75,238.76,238.67,238.67,56.0
2025-03-07 19:41:00,238.56,238.78,238.56,238.76,2281.0
2025-03-07 19:40:00,238.56,238.6,238.56,238.6,263.0
2025-03-07 19:39:00,238.6,238.6,238.56,238.6,215.0
2025-03-07 19:38:00,238.5122,238.6,238.5122,238.6,10.0
2025-03-07 19:36:00,238.52,238.6,238.52,238.52,49.0
2025-03-07 19:35:00,238.59,238.6,238.52,238.6,75.0
2025-03-07 19:34:00,238.58,238.6,238.58,238.5985,78.0
2025-03-07 19:33:00,238.54,238.6,238.522,238.6,17.0
2025-03-07 19:31:00,238.56,238.56,238.52,238.52,97.0
2025-03-07 19:30:00,238.56,238.6,238.51,238.51,18.0
2025-03-07 19:27:00,238.55,238.55,238.51,238.51,331.0
2025-03-07 19:26:00,238.51,238.51,238.51,238.51,19.0
2025-03-07 19:25:00,238.52,238.549,238.51,238.549,17.0
2025-03-07 19:24:00,238.51,238.5112,238.51,238.5112,2.0
2025-03-07 19:23:00,238.6,238.6,238.51,238.51,2.0
2025-03-07 19:22:00,238.51,238.51,238.51,238.51,103.0
2025-03-07 19:21:00,238.59,238.7733,238.59,238.7733,3.0
2025-03-07 19:20:00,238.52,238.52,238.51,238.51,136.0
2025-03-07 19:19:00,238.53,238.53,238.52,238.52,54.0
